LN_ID,ACTG_PRD_ID,LN_AMRT_AMNT,LN_AMRT_FCTR,AGG_ACCU_AMRT_AMNT,LN_UNAM_COST_BSIS_AMNT,AGG_UNAM_COST_BSIS_AMNT,OUTLIER_TYPE
anomaly_2_speedup,202503,300.0,0.01,1500.0,0.0,0.0,2
anomaly_3_negative,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,3
anomaly_3_negative,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,3
anomaly_3_negative,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,3
anomaly_3_negative,202404,100.0,-0.1,400.0,-1100.0,-1100.0,3
anomaly_3_negative,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,3
anomaly_3_negative,202406,100.0,-0.1,600.0,-900.0,-900.0,3
anomaly_3_negative,202407,100.0,-0.111111,700.0,-800.0,-800.0,3
anomaly_3_negative,202408,100.0,-0.125,800.0,-700.0,-700.0,3
anomaly_3_negative,202409,100.0,-0.142857,900.0,-600.0,-600.0,3
anomaly_3_negative,202410,100.0,-0.166667,1000.0,-500.0,-500.0,3
anomaly_3_negative,202411,100.0,-0.2,1100.0,-400.0,-400.0,3
anomaly_3_negative,202412,100.0,-0.25,1200.0,-300.0,-300.0,3
anomaly_3_negative,202501,100.0,-0.333333,1300.0,-200.0,-200.0,3
anomaly_3_negative,202502,100.0,-0.5,1400.0,-100.0,-100.0,3
anomaly_3_negative,202503,100.0,0.01,1500.0,0.0,0.0,3
anomaly_3_too_high,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,3
anomaly_3_too_high,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,3
anomaly_3_too_high,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,3
anomaly_3_too_high,202404,100.0,5.0,400.0,-1100.0,-1100.0,3
anomaly_3_too_high,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,3
anomaly_3_too_high,202406,100.0,-0.1,600.0,-900.0,-900.0,3
anomaly_3_too_high,202407,100.0,-0.111111,700.0,-800.0,-800.0,3
anomaly_3_too_high,202408,100.0,-0.125,800.0,-700.0,-700.0,3
anomaly_3_too_high,202409,100.0,-0.142857,900.0,-600.0,-600.0,3
anomaly_3_too_high,202410,100.0,-0.166667,1000.0,-500.0,-500.0,3
anomaly_3_too_high,202411,100.0,-0.2,1100.0,-400.0,-400.0,3
anomaly_3_too_high,202412,100.0,-0.25,1200.0,-300.0,-300.0,3
anomaly_3_too_high,202501,100.0,-0.333333,1300.0,-200.0,-200.0,3
anomaly_3_too_high,202502,100.0,-0.5,1400.0,-100.0,-100.0,3
anomaly_3_too_high,202503,100.0,0.01,1500.0,0.0,0.0,3
anomaly_4_slower_decrease,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,4
anomaly_4_slower_decrease,202402,100.0,-0.071429,200.0,-1300.0,-1285.7142857142858,4
anomaly_4_slower_decrease,202403,100.0,-0.076923,300.0,-1200.0,-1171.4285714285713,4
anomaly_4_slower_decrease,202404,100.0,-0.083333,400.0,-1100.0,-1057.142857142857,4
anomaly_4_slower_decrease,202405,100.0,-0.090909,500.0,-1000.0,-942.8571428571429,4
anomaly_4_slower_decrease,202406,100.0,-0.1,600.0,-900.0,-828.5714285714286,4
anomaly_4_slower_decrease,202407,100.0,-0.111111,700.0,-800.0,-714.2857142857142,4
anomaly_4_slower_decrease,202408,100.0,-0.125,800.0,-700.0,-600.0,4
anomaly_4_slower_decrease,202409,100.0,-0.142857,900.0,-600.0,-485.7142857142857,4
anomaly_4_slower_decrease,202410,100.0,-0.166667,1000.0,-500.0,-371.42857142857144,4
anomaly_4_slower_decrease,202411,100.0,-0.2,1100.0,-400.0,-257.1428571428571,4
anomaly_4_slower_decrease,202412,100.0,-0.25,1200.0,-300.0,-142.85714285714286,4
anomaly_4_slower_decrease,202501,100.0,-0.333333,1300.0,-200.0,-28.571428571428555,4
anomaly_4_slower_decrease,202502,100.0,-0.5,1400.0,-100.0,85.71428571428572,4
anomaly_4_slower_decrease,202503,100.0,0.01,1500.0,0.0,200.0,4
anomaly_4_no_decrease,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,4
anomaly_4_no_decrease,202402,100.0,-0.071429,200.0,-1300.0,-1400.0,4
anomaly_4_no_decrease,202403,100.0,-0.076923,300.0,-1200.0,-1400.0,4
anomaly_4_no_decrease,202404,100.0,-0.083333,400.0,-1100.0,-1400.0,4
anomaly_4_no_decrease,202405,100.0,-0.090909,500.0,-1000.0,-1400.0,4
anomaly_4_no_decrease,202406,100.0,-0.1,600.0,-900.0,-1400.0,4
anomaly_4_no_decrease,202407,100.0,-0.111111,700.0,-800.0,-1400.0,4
anomaly_4_no_decrease,202408,100.0,-0.125,800.0,-700.0,-1400.0,4
anomaly_4_no_decrease,202409,100.0,-0.142857,900.0,-600.0,-1400.0,4
anomaly_4_no_decrease,202410,100.0,-0.166667,1000.0,-500.0,-1400.0,4
anomaly_4_no_decrease,202411,100.0,-0.2,1100.0,-400.0,-1400.0,4
anomaly_4_no_decrease,202412,100.0,-0.25,1200.0,-300.0,-1400.0,4
anomaly_4_no_decrease,202501,100.0,-0.333333,1300.0,-200.0,-1400.0,4
anomaly_4_no_decrease,202502,100.0,-0.5,1400.0,-100.0,-1400.0,4
anomaly_4_no_decrease,202503,100.0,0.01,1500.0,0.0,-1400.0,4
anomaly_5_simple_case,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,5
anomaly_5_simple_case,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,5
anomaly_5_simple_case,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,5
anomaly_5_simple_case,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,5
anomaly_5_simple_case,202405,-100.0,-0.090909,500.0,-1000.0,-1000.0,5
anomaly_5_simple_case,202406,-100.0,-0.1,600.0,-900.0,-900.0,5
anomaly_5_simple_case,202407,-100.0,-0.111111,700.0,-800.0,-800.0,5
anomaly_5_simple_case,202408,-100.0,-0.125,800.0,-700.0,-700.0,5
anomaly_5_simple_case,202409,100.0,-0.142857,900.0,-600.0,-600.0,5
anomaly_5_simple_case,202410,100.0,-0.166667,1000.0,-500.0,-500.0,5
anomaly_5_simple_case,202411,100.0,-0.2,1100.0,-400.0,-400.0,5
anomaly_5_simple_case,202412,100.0,-0.25,1200.0,-300.0,-300.0,5
anomaly_5_simple_case,202501,100.0,-0.333333,1300.0,-200.0,-200.0,5
anomaly_5_simple_case,202502,100.0,-0.5,1400.0,-100.0,-100.0,5
anomaly_5_simple_case,202503,100.0,0.01,1500.0,0.0,0.0,5
anomaly_6_cost_reduction_no_amort,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,6
anomaly_6_cost_reduction_no_amort,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,6
anomaly_6_cost_reduction_no_amort,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,6
anomaly_6_cost_reduction_no_amort,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,6
anomaly_6_cost_reduction_no_amort,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,6
anomaly_6_cost_reduction_no_amort,202406,100.0,-0.1,600.0,-900.0,-900.0,6
anomaly_6_cost_reduction_no_amort,202407,100.0,-0.111111,700.0,-800.0,-800.0,6
anomaly_6_cost_reduction_no_amort,202408,100.0,-0.125,800.0,-700.0,-700.0,6
anomaly_6_cost_reduction_no_amort,202409,100.0,-0.142857,900.0,-600.0,-600.0,6
anomaly_6_cost_reduction_no_amort,202410,100.0,-0.166667,1000.0,-500.0,-500.0,6
anomaly_6_cost_reduction_no_amort,202411,0.0,-0.2,1100.0,-400.0,-500.0,6
anomaly_6_cost_reduction_no_amort,202412,100.0,-0.25,1200.0,-300.0,-400.0,6
anomaly_6_cost_reduction_no_amort,202501,100.0,-0.333333,1300.0,-200.0,-300.0,6
anomaly_6_cost_reduction_no_amort,202502,100.0,-0.5,1400.0,-100.0,-200.0,6
anomaly_6_cost_reduction_no_amort,202503,100.0,0.01,1500.0,0.0,-100.0,6
anomaly_7_curtailment_case,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,7
anomaly_7_curtailment_case,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,7
anomaly_7_curtailment_case,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,7
anomaly_7_curtailment_case,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,7
anomaly_7_curtailment_case,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,7
anomaly_7_curtailment_case,202406,100.0,-0.1,600.0,-900.0,-900.0,7
anomaly_7_curtailment_case,202407,100.0,-0.111111,700.0,-800.0,-800.0,7
anomaly_7_curtailment_case,202408,100.0,-0.125,800.0,-700.0,-700.0,7
anomaly_7_curtailment_case,202409,100.0,-0.142857,900.0,-600.0,-600.0,7
anomaly_7_curtailment_case,202410,100.0,-0.166667,1000.0,-500.0,-500.0,7
anomaly_7_curtailment_case,202411,100.0,-0.2,1100.0,-400.0,-400.0,7
anomaly_7_curtailment_case,202412,100.0,-0.25,1200.0,-300.0,-300.0,7
anomaly_7_curtailment_case,202501,0.0,-0.333333,1300.0,-500.0,-200.0,7
anomaly_7_curtailment_case,202502,100.0,-0.5,1400.0,-100.0,-100.0,7
anomaly_7_curtailment_case,202503,100.0,0.01,1500.0,0.0,0.0,7
anomaly_8_factor_mismatch,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,8
anomaly_8_factor_mismatch,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,8
anomaly_8_factor_mismatch,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,8
anomaly_8_factor_mismatch,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,8
anomaly_8_factor_mismatch,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,8
anomaly_8_factor_mismatch,202406,100.0,-0.1,600.0,-900.0,-900.0,8
anomaly_8_factor_mismatch,202407,100.0,-0.111111,700.0,-800.0,-800.0,8
anomaly_8_factor_mismatch,202408,100.0,-0.125,800.0,-700.0,-700.0,8
anomaly_8_factor_mismatch,202409,100.0,-0.142857,900.0,-600.0,-600.0,8
anomaly_8_factor_mismatch,202410,100.0,0.9,1000.0,-500.0,-500.0,8
anomaly_8_factor_mismatch,202411,100.0,-0.2,1100.0,-400.0,-400.0,8
anomaly_8_factor_mismatch,202412,100.0,-0.25,1200.0,-300.0,-300.0,8
anomaly_8_factor_mismatch,202501,100.0,-0.333333,1300.0,-200.0,-200.0,8
anomaly_8_factor_mismatch,202502,100.0,-0.5,1400.0,-100.0,-100.0,8
anomaly_8_factor_mismatch,202503,100.0,0.01,1500.0,0.0,0.0,8
anomaly_9_agg_drop,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,9
anomaly_9_agg_drop,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,9
anomaly_9_agg_drop,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,9
anomaly_9_agg_drop,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,9
anomaly_9_agg_drop,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,9
anomaly_9_agg_drop,202406,100.0,-0.1,600.0,-900.0,-900.0,9
anomaly_9_agg_drop,202407,100.0,-0.111111,700.0,-800.0,-800.0,9
anomaly_9_agg_drop,202408,100.0,-0.125,800.0,-700.0,-700.0,9
anomaly_9_agg_drop,202409,100.0,-0.142857,900.0,-600.0,-600.0,9
anomaly_9_agg_drop,202410,100.0,-0.166667,1000.0,-500.0,-500.0,9
anomaly_9_agg_drop,202411,100.0,-0.2,1100.0,-400.0,-400.0,9
anomaly_9_agg_drop,202412,100.0,-0.25,1200.0,-300.0,-300.0,9
anomaly_9_agg_drop,202501,100.0,-0.333333,1300.0,-200.0,-200.0,9
anomaly_9_agg_drop,202502,100.0,-0.5,1200.0,-100.0,-100.0,9
anomaly_9_agg_drop,202503,100.0,0.01,1500.0,0.0,0.0,9
anomaly_10_combo,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,10
anomaly_10_combo,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,10
anomaly_10_combo,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,10
anomaly_10_combo,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,10
anomaly_10_combo,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,10
anomaly_10_combo,202406,100.0,-0.1,600.0,-900.0,-900.0,10
anomaly_10_combo,202407,-100.0,-0.1,500.0,-1100.0,-800.0,10
anomaly_10_combo,202408,100.0,-0.125,800.0,-700.0,-700.0,10
anomaly_10_combo,202409,100.0,-0.142857,900.0,-600.0,-600.0,10
anomaly_10_combo,202410,100.0,-0.166667,1000.0,-500.0,-500.0,10
anomaly_10_combo,202411,100.0,-0.2,1100.0,-400.0,-400.0,10
anomaly_10_combo,202412,100.0,-0.25,1200.0,-300.0,-300.0,10
anomaly_10_combo,202501,100.0,-0.333333,1300.0,-200.0,-200.0,10
anomaly_10_combo,202502,100.0,-0.5,1400.0,-100.0,-100.0,10
anomaly_10_combo,202503,100.0,0.01,1500.0,0.0,0.0,10
